id,acquiring_company_id,acquired_company_id,term_code,price_amount,acquired_at
4821,342,64723,,0,1995-08-05
4822,342,64724,,0,2001-01-01
4823,29,64725,,1630000000,2003-07-14
4824,29,64740,,0,2004-12-07
4825,29,64741,,0,2006-01-10
4826,29,64742,,0,2006-01-16
4827,29,64743,,0,2006-04-18
4828,29,64744,,0,2006-11-17
4829,29,64745,,0,2006-12-14
4830,29,39402,,0,2007-09-14
4831,64747,64748,,0,2004-03-15
4832,64747,64750,,0,2004-05-24
4833,64747,64752,,0,2005-03-09
4834,64747,64753,,0,2005-10-18
4835,64747,64754,,0,2006-05-04
4836,64786,64787,stock,1200000000,2010-12-17
4837,64747,64797,,0,2007-07-25
4838,57168,64800,,0,1999-09-07
4839,57168,64801,,0,1999-10-05
4840,64802,64805,,0,2001-05-09
4841,64802,64807,,0,2001-06-12
4842,64802,64808,,0,2002-12-18
4843,64802,64809,,0,2002-07-01
4844,64802,64810,,0,2003-07-24
4845,64802,64811,,0,2005-02-18
4846,64802,64812,,0,2006-11-08
4847,64802,64813,,0,2007-08-24
4848,64802,64814,,0,2008-09-10
4849,62258,64815,,0,1988-12-01
4850,62258,64817,,0,1993-05-26
4851,62258,64818,,0,1996-01-10
4852,62258,64819,,0,1997-04-10
4853,64821,24862,,0,2010-12-22
4854,62258,64823,,0,1999-12-01
4855,14111,4804,,720000000,2010-12-23
4856,64827,18875,,0,2010-12-22
4857,42930,64829,cash_and_stock,12000000,2010-09-01
4858,13930,64833,,0,2010-09-08
4859,32482,64837,,0,2010-09-14
4860,62258,64850,,0,2000-02-11
4861,62258,64852,,0,2001-04-27
4862,62258,64853,,0,2001-06-09
4863,62258,64855,,0,2001-07-19
4864,62258,64856,,0,2001-10-01
4865,62258,64857,,0,2002-04-26
4866,62258,64858,,0,2002-06-03
4867,62258,7350,,0,2002-12-23
4868,62258,64859,,0,2003-01-07
4869,62258,64860,,0,2006-08-11
4870,62258,64861,,0,2007-03-31
4871,62258,62758,,0,2007-08-01
4872,64864,40909,,0,2005-07-11
4873,64864,64865,,0,2005-04-05
4874,64869,64870,,0,2005-05-16
4875,64869,64871,,0,2005-07-25
4876,26107,37305,,0,2010-11-04
4877,64876,64875,,0,2010-08-17
4878,51385,64877,,0,2010-07-27
4879,64879,64878,,0,2010-09-08
4880,64893,64892,,0,2010-09-27
4881,26091,64894,,0,2010-09-27
4882,46482,64921,,0,2010-12-24
4883,64926,24116,,0,2010-12-24
4884,52885,64933,,0,2010-09-23
4885,9193,64938,,0,2010-09-29
4886,64944,64943,,0,2010-08-12
