id,object_id,degree_type,subject
3668,p:36935,PhD,Biochemistry
3669,p:36940,PhD,
3670,p:36944,MENG,Electrical Engineering
3671,p:36590,BTECH,Computer Science & Engineering
3672,p:36945,MBA,
3673,p:36946,PhD,Molecular and Cellular Biology
3674,p:36950,PhD,Physiology/Pharmacology
3675,p:36953,B.S.,Mechanical Engineering
3676,p:36954,Ph.D.,Materials Science & Engineering
3677,p:36959,B.S.,Accounting
3678,p:36912,MS,Master in Digital Business and Innovation
3679,p:36912,BA,
3680,p:36912,BA,Business Administration
3681,p:36962,BS,Chemical Engineering
3682,p:36962,MS,Chemical Engineering
3683,p:36983,BA,Economics
3684,p:36984,MBA,
3685,p:27625,BS,"Music Industry, Business Administration"
3686,p:11466,BA,Music Education
3687,p:16349,MBA,Managment and Finance
3688,p:16349,BS,Civil Engineering
3689,p:16349,BS,Architectural Engineering
3690,p:9465,BA,Political Science
3691,p:9465,JD,
3692,p:36464,BS,Management Science
3693,p:36464,MS,Computer Information Systems
3694,p:36464,MBA,Sloan Fellow
3695,p:37075,BA,Political Science
3696,p:37039,BA,English Literature
3697,p:1382,BS,Computational Media
3698,p:37084,MS,Economics
3699,p:37084,MBA,General Business
3700,p:37084,BA,Honours Political Science
3701,p:35526,MBA,"Marketing Management, Management and Strategy"
3702,p:37097,BS,Information Technology
3703,p:37099,BA,Economics
3704,p:37138,BS,Accounting and Finance
3705,p:37139,PhD,Microbiology and Molecular Genetics
3706,p:37154,MA,Journalism
3707,p:37154,MA,Linguistics
3708,p:37189,PhD,Education
3709,p:37189,MS,Business
3710,p:37189,MS,Education
3711,p:37189,BS,Business Administration
3712,p:3975,BS,Computer Science
3713,p:6109,BS,Electrical Engineering
3714,p:37285,Post-grade diploma,Project management
3715,p:37285,Phd interdisciplinary,Informatics & biology
3716,p:37285,Diploma of General practitioner,Medicine
3717,p:37290,MBA,General Management
3718,p:37290,BA,General Management
3719,p:36815,MS,electronic publishing
3720,p:37323,MBA,Business
3721,p:37323,BA,Economics
3722,p:36849,BA,
3723,p:36849,MBA,Business
3724,p:37332,Business,Business Finance
3725,p:37333,BS,Graphic Design
3726,p:34338,PhD,Computer Science
3727,p:37339,BS,Physics
3728,p:30297,MA,"Politics, Media Sciences, Law"
3729,p:37386,,Communications
3730,p:13913,BA,
3731,p:37416,BA,English and Classics
3732,p:37416,BPhil,Renaissance Drama
3733,p:37416,MBA,General Management
3734,p:30997,JD,Law
3735,p:37487,BA,
3736,p:37496,Bachelors with Honors,Communication Studies
3737,p:37497,,Computer Science
3738,p:37499,,Computer Science
3739,p:34986,BA,Business
3740,p:34988,MS,Law
3741,p:28468,Diploma,Journalism - Photography
3742,p:28470,BA,Business
3743,p:37118,BCOM (PPE),Economics and Politics
3744,p:37527,BS,Computer Science
3745,p:15345,BS,Engineering
3746,p:14644,BTECH,
3747,p:14643,BTECH,Computer Science and Engg.
3748,p:34987,MS,International Law
3749,p:37559,MS,"cybernetics faculty, applied mathematics"
3750,p:37568,BS,Mathematics
3751,p:36539,BA,Product Design Visualisation
3752,p:34470,MS,French/Russian Literatur and Language
3753,p:37597,BS,Accounting
3754,p:8843,,
3755,p:8843,,
3756,p:37655,BS,Computer Science
3757,p:37655,MBA,
3758,p:37658,BA,"Russian, Studio Art"
3759,p:37665,BS,Marketing
3760,p:37675,associates of art,journalism
3761,p:37736,BS,"Business, Psychology"
3762,p:37828,BS,Haas School of Business
3763,p:10918,PhD,Computer Science
3764,p:13176,BA,
3765,p:13176,MBA,
3766,p:2333,BA,Anthropology
3767,p:536,BS,Computer Science
3768,p:37863,"MA, LPP",Executive Master in Public Policy
3769,p:16286,MBA,Marketing
3770,p:16286,BA,Economics
3771,p:37923,BTECH,Electronics
3772,p:29694,BA,Government & French
3773,p:37982,BCOM,"Law, Economics, Marketing"
3774,p:37982,LLB,Law
3775,p:38002,BA,English
